Model Name,File,Domain,Equation Count,Differential Equation Count,Algebraic Equation Count,ODE count,PDE count,State variable count,Algebraic Variable Count,Total Variable Count,Actual Variable Count
purvis_butera_2005,models_cellml/calcium_dynamics/purvis_butera_2005.cellml,calcium_dynamics,47,16,31,16,0,0,0,206,120
raposo_2002,models_cellml/calcium_dynamics/raposo_2002.cellml,calcium_dynamics,37,11,26,11,0,0,0,134,76
rice_jafri_winslow_2000,models_cellml/calcium_dynamics/rice_jafri_winslow_2000.cellml,calcium_dynamics,112,35,77,35,0,0,0,360,188
rice_winslow_jafri_1999,models_cellml/calcium_dynamics/rice_winslow_jafri_1999.cellml,calcium_dynamics,44,2,42,2,0,0,0,222,75
riemer_sobie_tung_1998,models_cellml/calcium_dynamics/riemer_sobie_tung_1998.cellml,calcium_dynamics,103,15,88,15,0,0,0,340,163
sachse_glanzel_seemann_2003,models_cellml/calcium_dynamics/sachse_glanzel_seemann_2003.cellml,calcium_dynamics,30,12,18,0,12,0,0,164,74
saftenku_williams_sitsapesan_2001_H1_model,models_cellml/calcium_dynamics/saftenku_williams_sitsapesan_2001_H1_model.cellml,calcium_dynamics,6,6,0,6,0,0,0,59,18
saftenku_williams_sitsapesan_2001_H2_model,models_cellml/calcium_dynamics/saftenku_williams_sitsapesan_2001_H2_model.cellml,calcium_dynamics,4,4,0,4,0,0,0,37,12
saftenku_williams_sitsapesan_2001_low_model,models_cellml/calcium_dynamics/saftenku_williams_sitsapesan_2001_low_model.cellml,calcium_dynamics,8,8,0,8,0,0,0,85,26
saucerman_bers_2008,models_cellml/calcium_dynamics/saucerman_bers_2008.cellml,calcium_dynamics,6,0,6,0,0,0,0,45,24
shannon_wang_puglisi_weber_bers_2004_a,models_cellml/calcium_dynamics/shannon_wang_puglisi_weber_bers_2004_a.cellml,calcium_dynamics,164,39,125,39,0,0,0,508,288
shannon_wang_puglisi_weber_bers_2004_b,models_cellml/calcium_dynamics/shannon_wang_puglisi_weber_bers_2004_b.cellml,calcium_dynamics,200,45,155,45,0,0,0,581,351
shorten_robson_mckinnon_wall_2000,models_cellml/calcium_dynamics/shorten_robson_mckinnon_wall_2000.cellml,calcium_dynamics,21,6,15,6,0,0,0,109,57
shorten_wall_2000,models_cellml/calcium_dynamics/shorten_wall_2000.cellml,calcium_dynamics,26,7,19,7,0,0,0,123,65
sneyd_dufour_2002,models_cellml/calcium_dynamics/sneyd_dufour_2002.cellml,calcium_dynamics,14,5,9,5,0,0,0,79,34
sneyd_tsanevaatanasova_bruce_straub_giovannucci_yule_2003,models_cellml/calcium_dynamics/sneyd_tsanevaatanasova_bruce_straub_giovannucci_yule_2003.cellml,calcium_dynamics,28,10,18,8,2,0,0,131,65
sneyd_tsaneva-atanasova_yule_thompson_shuttleworth_2004,models_cellml/calcium_dynamics/sneyd_tsaneva-atanasova_yule_thompson_shuttleworth_2004.cellml,calcium_dynamics,19,8,11,8,0,0,0,109,48
sneyd_1995,models_cellml/calcium_dynamics/sneyd_1995.cellml,calcium_dynamics,7,3,4,3,0,0,0,32,20
snyder_palmer_moore_2000,models_cellml/calcium_dynamics/snyder_palmer_moore_2000.cellml,calcium_dynamics,21,10,11,10,0,0,0,89,49
sobie_dilly_dossantoscruz_lederer_jafri_2002,models_cellml/calcium_dynamics/sobie_dilly_dossantoscruz_lederer_jafri_2002.cellml,calcium_dynamics,25,8,17,8,0,0,0,77,66
stern_song_sham_yang_boheler_rios_1999,models_cellml/calcium_dynamics/stern_song_sham_yang_boheler_rios_1999.cellml,calcium_dynamics,4,4,0,4,0,0,0,42,10
tomida_hirose_takizawa_shibasaki_iino_2003,models_cellml/calcium_dynamics/tomida_hirose_takizawa_shibasaki_iino_2003.cellml,calcium_dynamics,13,3,10,3,0,0,0,21,21
topp_promislow_devries_miura_finegood_2000,models_cellml/calcium_dynamics/topp_promislow_devries_miura_finegood_2000.cellml,calcium_dynamics,3,3,0,3,0,0,0,20,13
tran_smith_loiselle_crampin_2009,models_cellml/calcium_dynamics/tran_smith_loiselle_crampin_2009.cellml,calcium_dynamics,17,1,16,1,0,0,0,37,36
tran_smith_loiselle_crampin_2009_variant01,models_cellml/calcium_dynamics/tran_smith_loiselle_crampin_2009_variant01.cellml,calcium_dynamics,15,1,14,1,0,0,0,35,34
vangoor_lebeau_krsmanovic_sherman_catt_stojilkovic_2000,models_cellml/calcium_dynamics/vangoor_lebeau_krsmanovic_sherman_catt_stojilkovic_2000.cellml,calcium_dynamics,40,13,27,13,0,0,0,131,53
wang_2006,models_cellml/calcium_dynamics/wang_2006.cellml,calcium_dynamics,15,5,10,5,0,0,0,96,43
warren_2010,models_cellml/calcium_dynamics/warren_2010.cellml,calcium_dynamics,37,8,29,8,0,0,0,155,81
wierschem_2004,models_cellml/calcium_dynamics/wierschem_2004.cellml,calcium_dynamics,14,5,9,5,0,0,0,58,35
wilkins_sneyd_1998,models_cellml/calcium_dynamics/wilkins_sneyd_1998.cellml,calcium_dynamics,4,2,2,2,0,0,0,24,18
winograd_destexhe_sanchezvives_2008,models_cellml/calcium_dynamics/winograd_destexhe_sanchezvives_2008.cellml,calcium_dynamics,47,7,40,7,0,0,0,154,86
winslow_rice_jafri_marban_ororke_1999,models_cellml/calcium_dynamics/winslow_rice_jafri_marban_ororke_1999.cellml,calcium_dynamics,95,35,60,35,0,0,0,328,173
yamaguchi_takaki_matsubara_yasuhara_suga_1996,models_cellml/calcium_dynamics/yamaguchi_takaki_matsubara_yasuhara_suga_1996.cellml,calcium_dynamics,12,5,7,5,0,0,0,54,28
yang_clark_bryan_robertson_2003,models_cellml/calcium_dynamics/yang_clark_bryan_robertson_2003.cellml,calcium_dynamics,74,15,59,15,0,0,0,264,155
yi_fogelson_keener_peskin_2003,models_cellml/calcium_dynamics/yi_fogelson_keener_peskin_2003.cellml,calcium_dynamics,52,9,43,9,0,0,0,233,86
zeng_laurita_rosenbaum_rudy_1995,models_cellml/calcium_dynamics/zeng_laurita_rosenbaum_rudy_1995.cellml,calcium_dynamics,103,15,88,15,0,0,0,334,160
guyton_aldosterone_2008,models_cellml/cardiovascular_circulation/guyton_aldosterone_2008.cellml,cardiovascular_circulation,13,1,12,1,0,0,0,52,29
aldosterone_parent,models_cellml/cardiovascular_circulation/aldosterone_parent.cellml,cardiovascular_circulation,0,0,0,0,0,0,0,6,3
guyton_angiotensin_2008,models_cellml/cardiovascular_circulation/guyton_angiotensin_2008.cellml,cardiovascular_circulation,12,2,10,2,0,0,0,51,27
